GlogemId;RGIId;CenLon;CenLat;Area;Zmin;Zmax;Zmed;Slope;Aspect;Lmax;Name;x_centr;y_centr;Unique_ID;Monitored;N_OBS_ANN;N_OBS_SUMM;N_OBS_WIN;HubName_anyglac;HubDist_anyglac;HubName_10yrs_old;HubDist_10yrs_old;HubName_10yrs;HubDist_10yrs;HubName_10yrs_winter;HubDist_10yrs_winter;Change_IN_REF_GL;ID_SGI2010;ISMSA_ID;ISMSA_NAME
2;RGI60-11.00002;13.6135;47.4845;2.292;2203;2855;2526;18.6;49;1853;Hallstätter Gletscher;269907;5811141;65;1;12;12;12;RGI60-11.00002;0;RGI60-11.00002;0;RGI60-11.00002;0;RGI60-11.00002;0;WAHR;;14;Salzburger_Voralpen+Oberoestereichisch-Salzkammerguter_Alpen
3;RGI60-11.00003;13596;47.4835;0.851;2280;2691;2458;17.8;314;1140;;268611;5810973;65;0;;;;RGI60-11.00002;12916802.2727744;RGI60-11.00002;12916802.2727744;RGI60-11.00002;12916802.2727744;RGI60-11.00002;12916802.2727744;WAHR;;14;Salzburger_Voralpen+Oberoestereichisch-Salzkammerguter_Alpen
6;RGI60-11.00006;13.6304;47.4708;0.908;2450;2681;2601;14;33;816;;271243;5809696;65;0;;;;RGI60-11.00002;10778201.34257;RGI60-11.00002;10778201.34257;RGI60-11.00002;10778201.34257;RGI60-11.00002;10778201.34257;WAHR;;14;Salzburger_Voralpen+Oberoestereichisch-Salzkammerguter_Alpen
9;RGI60-11.00009;13.0484;47.4247;0.327;2664;2809;2767;12.2;6;813;;227983;5802748;64;0;;;;RGI60-11.00251;2561498.41201266;RGI60-11.00251;2561498.41201266;RGI60-11.00251;2561498.41201266;RGI60-11.00251;2561498.41201266;WAHR;;14;Salzburger_Voralpen+Oberoestereichisch-Salzkammerguter_Alpen
14;RGI60-11.00014;12.6823;47.1953;0.912;2494;2929;2771;17.7;27;1230;;201489;5776455;64;0;;;;RGI60-11.00080;5259891.38495359;RGI60-11.00080;5259891.38495359;RGI60-11.00080;5259891.38495359;RGI60-11.00251;1295470.65889369;WAHR;;12;Westliche_Tauernalpen
19;RGI60-11.00019;12.6802;47.1848;0.295;2605;2831;2717;18;271;506;;201375;5775299;64;0;;;;RGI60-11.00080;5579453.66991507;RGI60-11.00080;5579453.66991507;RGI60-11.00080;5579453.66991507;RGI60-11.00251;9856332.74317054;WAHR;;12;Westliche_Tauernalpen
21;RGI60-11.00021;12.7675;47.1766;0.645;2323;3027;2616;32.2;99;1306;;207963;5774627;64;0;;;;RGI60-11.00106;10000978.1331396;RGI60-11.00106;10000978.1331396;RGI60-11.00106;10000978.1331396;RGI60-11.00251;2706058.4007349;WAHR;;12;Westliche_Tauernalpen
22;RGI60-11.00022;12.3863;47.1893;0.26;2618;2792;2696;17.6;24;805;;179286;5775069;64;0;;;;RGI60-11.00116;9918292.9453985;RGI60-11.00190;9417935.05651963;RGI60-11.00190;9417935.05651963;RGI60-11.00190;9417935.05651963;WAHR;;12;Westliche_Tauernalpen
25;RGI60-11.00025;12.7508;47.1648;0.571;2302;3199;2899;27.1;356;1873;;206755;5773286;64;0;;;;RGI60-11.00106;10865031.0696732;RGI60-11.00106;10865031.0696732;RGI60-11.00106;10865031.0696732;RGI60-11.00251;14038434.1676579;WAHR;;12;Westliche_Tauernalpen
28;RGI60-11.00028;12.6785;47.1631;0.381;2669;3137;2952;20.7;10;1195;;201327;5772897;64;0;;;;RGI60-11.00080;13506295.8539983;RGI60-11.00080;13506295.8539983;RGI60-11.00080;13506295.8539983;RGI60-11.00251;17780486.8883282;WAHR;;12;Westliche_Tauernalpen
