NAME;GLAMOS_ID;WGMS_ID;RGI_ID;GLOGEM_ID;x_centr;y_centr;Area;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;N_OBS;OBS_DATE_MIN;OBS_DATE_MAX
Vernagtferner;;489;RGI60-11.00719;719;61831;5738129;8,55125;-845;-537;20;-112;-808;-290;-497;-312;-568;-1079;-858;-472;-1028;-398;-413;-487;-1003;-108;-287;-224;-266;-2133;-407;-523;-882;-966;-843;-959;-680;-955;-1155;-425;-144;-1268;-781;-1335;-1419;-880;38;1982;2019
Kesselwandferner;;507;RGI60-11.00787;787;59803;5734381;3,95812;-620;-182;178;-8;-494;-243;-265;-151;-242;-849;-410;120;-830;140;-111;11;-604;-12;140;525;17;-1546;-188;-59;-617;-836;-444;-795;-99;-670;-792;100;459;-1169;-500;-1054;-1619;-337;38;1982;2019
Silvrettagletscher;A10g/05;;RGI60-11.00804;804;5795;5735179;2,87625;-697;-487;717;207;-367;-944;-413;-393;-709;-1238;-1144;-244;-708;-129;-143;-263;-1591;-196;12;673;-298;-2529;-120;-1050;-1449;-916;-570;-1103;-279;-1507;-1336;-264;-715;-1577;-662;-1441;-1881;-1003;38;1982;2019
Claridenfirn S;A50i/19;;RGI60-11.00843;843;-83861;5734869;2,39938;-946;-221;1036;-1035;-582;885;-9;-179;-999;-1685;-1029;-101;-315;531;-294;-313;-1248;486;363;314;-1006;-2245;245;-764;-873;-397;-676;-841;-122;-1545;-838;88;-151;-1093;-406;-1193;-1453;-1049;38;1982;2019
Careser;;635;RGI60-11.01834;1834;53982;5691194;2,83188;-1680;-790;-590;-760;-1140;-1640;-1010;-820;-1580;-1730;-1200;-300;-1740;-1080;-1320;-930;-2240;-1800;-1610;-250;-1149;-3317;-1562;-2005;-2093;-2745;-1851;-1236;-962;-1922;-2460;-1039;-131;-2475;-1748;-2747;-1981;-1432;38;1982;2019
Griesgletscher;B45/04;;RGI60-11.01876;1876;-127247;5690901;5,28937;-1304;-779;-4;-526;-947;-733;-924;-1071;-1988;-1344;-1125;-1052;-209;-278;-517;-1068;-2053;-564;-985;-229;-990;-2711;-1146;-1512;-1995;-1473;-1683;-815;-1060;-2010;-1849;-497;-723;-1474;-1925;-2041;-2069;-1188;38;1982;2019
Hohlaubgletscher;B52/32;;RGI60-11.02679;2679;-160161;5649433;2,16438;-172;-74;-112;-1584;-311;-2124;-1490;-378;-1624;388;94;1297;-374;313;-628;-440;-2057;-423;416;-97;44;-1949;-618;-826;-1369;511;-330;-1165;-821;-1171;-1072;34;-55;-854;-1168;-1520;-658;-1136;38;1982;2019
Allalingletscher;B52/29;;RGI60-11.02704;2704;-160503;5647080;9,27375;-873;-407;242;-900;-453;-1268;-234;-635;-1413;-1120;-311;755;-871;620;-413;-271;-1201;-226;-64;411;348;-1244;-724;-761;-906;299;-730;-138;-757;-1026;-1086;237;211;-571;-845;-1532;-845;-578;38;1982;2019
Schwarzberggletscher zentral;B52/24;;RGI60-11.02746;2746;-159152;5644226;5,34438;-677;-1091;44;-673;-787;-1040;-460;-525;-1842;7;598;665;201;34;-296;-971;-1714;-1087;-51;61;26;-1889;-722;-878;-1449;-304;-700;-447;-844;-1384;-838;50;-237;-1191;-977;-1411;-927;-775;38;1982;2019
Glacier du Gietro;B82/14;;RGI60-11.02774;2774;-200614;5643714;5,42125;-757;-541;-37;-499;-586;-296;-6;-559;-145;-1528;-297;-109;-388;-178;99;58;-1567;166;-859;385;-148;-2653;-491;-530;-757;-76;-820;-1247;-642;-1684;-671;-34;-271;-1102;-445;-1709;-866;-1195;38;1982;2019
