NAME;GLAMOS_ID;WGMS_ID;RGI_ID;GLOGEM_ID;x_centr;y_centr;Area;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;N_OBS
Allalingletscher;B52/29;;RGI60-11.02704;2704;-160502;5647079;9,27375;-1989;-1837;-631;-1972;-2075;-1919;-1399;-1605;-2005;-2428;-1292;-625;-2024;-619;-955;-1130;-1645;-1240;-898;-389;-585;-2304;-1220;-1589;-1610;-572;-1402;-1430;-1692;-1389;-2140;-1112;-968;-1573;-1698;-2153;-1972;-1559;38
Claridenfirn S;A50i/19;;RGI60-11.00843;843;-83861;5734869;2,39938;-2702;-1660;-326;-1961;-1820;-359;-1824;-1577;-2429;-2444;-2683;-1540;-2072;-1154;-803;-1931;-2455;-1782;-1362;-1384;-1833;-3971;-1201;-1858;-1965;-942;-2225;-2458;-997;-2371;-2191;-1404;-1339;-2602;-1755;-2606;-3468;-3011;38
Glacier du Gietro;B82/14;;RGI60-11.02774;2774;-200614;5643719;5,42125;-2161;-1888;-724;-1514;-1901;-1296;-1460;-1749;-1119;-2803;-1276;-1478;-1693;-2015;-419;-1029;-2305;-1258;-1964;-1533;-668;-3875;-1810;-1467;-1586;-925;-1587;-2842;-1333;-2487;-1764;-1297;-1580;-1780;-1793;-2756;-2137;-2537;38
Griesgletscher;B45/04;;RGI60-11.01876;1876;-123506;5715132;5,28937;-2509;-2093;-879;-1596;-2714;-1616;-2168;-2510;-3155;-2530;-2323;-1768;-1796;-1463;-1149;-2666;-3015;-2240;-2377;-2031;-1866;-4269;-2489;-2654;-2909;-2099;-2756;-2971;-2198;-2959;-3446;-1999;-2324;-3238;-3442;-3579;-4130;-3373;38
Hohlaubgletscher;B52/32;;RGI60-11.02679;2679;-160162;5649430;2,16438;-1568;-1632;-944;-2831;-1840;-2732;-2796;-1659;-2541;-1291;-1091;-510;-1918;-1447;-1172;-1495;-2560;-1643;-661;-1112;-1112;-3319;-1261;-1826;-2179;-532;-1130;-2439;-1762;-1533;-2131;-1325;-1401;-1976;-2167;-2235;-1979;-2264;38
Schwarzberggletscher zentral;B52/24;;RGI60-11.02746;2746;-159152;5644230;5,34438;-2068;-2675;-725;-1863;-2271;-1741;-1724;-1759;-2466;-1479;-547;-661;-1194;-921;-1021;-1910;-2188;-2221;-1137;-973;-1151;-3287;-1374;-1942;-2330;-1360;-1531;-2163;-2073;-1863;-2252;-1717;-1502;-2290;-2272;-2381;-2690;-2102;38
Silvrettagletscher;A10g/05;;RGI60-11.00804;804;-174677;5658596;2,87625;-1973;-1584;-294;-834;-1442;-1428;-1460;-1310;-1830;-2108;-3027;-2025;-2317;-1342;-614;-1763;-2198;-2269;-1740;-914;-1487;-3669;-1516;-2151;-2684;-1690;-2000;-2662;-1275;-2472;-2863;-1495;-1879;-2800;-1983;-2755;-3414;-2750;38
Sarennes;;357;RGI60-11.03756;3756;-302151;5551311;0,30125;-2130;-2920;-2270;-3280;-3680;-2640;-2890;-3950;-3720;-3170;-2670;-2950;-2780;-2030;-1550;-2200;-3810;-2680;-3534;-2030;-3360;-5030;-4480;-4470;-4200;-3760;-4040;-5030;-3260;-5229;-4340;-3350;-3320;-4297;-3230;-4240;-4440;;37
Vernagtferner;;489;RGI60-11.00719;719;61831;5738129;8,55125;-2158;-1618;-851;-1522;-1678;-1278;-1396;-1261;-1423;-1991;-1805;-1367;-2059;-1377;-899;-1415;-1809;-1224;-1366;-1363;-1279;-3119;-1298;-1144;-1673;-1457;-1820;-2031;-1167;-1699;-2040;-1337;;-2136;-1561;-2035;-2490;;36
Fontana Bianca / Weissbrunnf.;;1507;RGI60-11.01704;1704;58707;5694836;0,56625;;;-980;-2282;-1582;-1390;-2160;;;;-1935;-1524;-2330;-1185;-980;-1450;-2470;-1960;-1870;-1811;-1219;-4065;-1977;-2215;-2682;-2223;-2108;-2209;-1511;-2436;-2942;-1562;-1375;-2487;-2394;-2879;;;31
Wurtenkees;;545;RGI60-11.00300;300;226385;5760080;0,21375;;-2392;-883;-2218;-2739;-2307;-2037;-1398;-1928;-2152;-2798;-1997;-3039;-1958;-1408;-2221;-2620;-2807;-2178;-2090;-2365;-3909;-1814;-1642;-2218;-2136;-2722;-2671;-1885;-2971;;;;;;;;;29
Ghiacciaio del Basodino;C14/10;;RGI60-11.01987;1987;-113786;5735166;2,09187;;;;;;;;;;;-1111;-1816;-1966;-1284;-1147;-1962;-2364;-2369;-2880;-1154;-1275;-3839;-2071;-2754;-2639;-1984;-1648;-1995;-1531;-2377;-2232;-1544;-1871;-2886;-2571;-2868;-3341;-2832;28
Ciardoney;;1264;RGI60-11.03135;3135;-202300;5591479;0,34813;;;;;;;;;;;-1910;-2750;-2340;-1680;-1240;-1130;-4010;-3310;-1990;-1840;-990;-3810;-2230;-3000;-2883;-2470;-2670;-2330;-1870;-2290;-2900;-2280;-2410;-3562;-3090;-3530;-3440;;27
Jamtalferner;;480;RGI60-11.00781;781;12121;5735772;3,82313;;;;;;;;-1491;-1583;-2220;-2680;-1650;-2120;-1590;;;;;-1631;-1480;-2220;-3520;-1560;-1825;-2430;-2230;-2461;-2301;-1998;-2375;-2337;-1720;-1667;-3242;-1543;-2870;-3715;-2796;27
Glacier de Corbassiere;B83/03;;RGI60-11.02766;2766;-208230;5640958;16,69438;;;;;;;;;;;;;;;;-1512;-1905;-1091;-1317;-1048;-908;-2322;-1728;-1721;-1666;-1142;-1708;-2462;-1527;-2108;-1810;-1443;-1282;-1941;-1624;-2272;-2215;-2012;23
Grosser Aletschgletscher;B36/26;;RGI60-11.01450;1450;-146916;5705614;82165;-1114;-998;-337;-751;-1818;-963;-1577;-1530;-1487;-1700;-1960;-969;-1319;-1301;-783;-1358;-1879;-1413;;;;;;;;;;;;;;;;;;;;;18
Vadret da Morteratsch;E22/03;;RGI60-11.01946;1946;-4401;5684530;15809;;;;;;;;;;;;;;;;;;;;;-1562;-3559;-1786;-2252;-2719;-2389;-2356;-3030;-1816;-1963;-2264;-1918;-1660;-2810;-1963;-2450;-2624;-2703;18
Goldbergkees;;1305;RGI60-11.00289;289;223754;5760374;0,63938;;;;;;;;;;;;;;;;;;;;-2176;-2468;-3540;-1600;-1651;-2655;-2402;-2721;-2475;-2330;-3181;;-2245;-1779;-3659;-2670;-3384;-3766;;17
