NAME;GLAMOS_ID;WGMS_ID;RGI_ID;GLOGEM_ID;x_centr;y_centr;Area;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;N_OBS
Silvrettagletscher;A10g/05;;RGI60-11.00804;804;5795;5735179;2.87625;1276;1097;1011;1041;1075;484;1047;917;1121;870;1883;1781;1609;1213;471;1500;607;2073;1752;1587;1189;1140;1396;1101;1235;774;1430;1559;996;965;1527;1231;1164;1223;1321;1314;1533;1747;38
Claridenfirn S;A50i/19;;RGI60-11.00843;843;-83861;5734869;2.39938;1756;1439;1362;926;1238;1244;1815;1398;1430;759;1654;1439;1757;1685;509;1618;1207;2268;1725;1698;827;1726;1446;1094;1092;545;1549;1617;875;826;1353;1492;1188;1509;1349;1413;2015;1962;38
Griesgletscher;B45/04;;RGI60-11.01876;1876;-127247;5690901;5.28937;1205;1314;875;1070;1767;883;1244;1439;1167;1186;1198;716;1587;1185;632;1598;962;1676;1392;1802;876;1558;1343;1142;914;626;1073;2156;1138;949;1597;1502;1601;1764;1517;1538;2061;2185;38
Hohlaubgletscher;B52/32;;RGI60-11.02679;2679;-160161;5649433;2.16438;1396;1558;832;1247;1529;608;1306;1281;917;1679;1185;1807;1544;1760;544;1055;503;1220;1077;1015;1156;1370;643;1000;810;1043;800;1274;941;362;1059;1359;1346;1122;999;715;1321;1128;38
Allalingletscher;B52/29;;RGI60-11.02704;2704;-160503;5647080;9.27375;1116;1430;873;1072;1622;651;1165;970;592;1308;981;1380;1153;1239;542;859;444;1014;834;800;933;1060;496;828;704;871;672;1292;935;363;1054;1349;1179;1002;853;621;1127;981;38
Schwarzberggletscher zentral;B52/24;;RGI60-11.02746;2746;-159152;5644226;5.34438;1391;1584;769;1190;1484;701;1264;1234;624;1486;1145;1326;1395;955;725;939;474;1134;1086;1034;1177;1398;652;1064;881;1056;831;1716;1229;479;1414;1767;1265;1099;1295;970;1763;1327;38
Glacier du Gietro;B82/14;;RGI60-11.02774;2774;-200614;5643714;5.42125;1404;1347;687;1015;1315;1000;1454;1190;974;1275;979;1369;1305;1837;518;1087;738;1424;1105;1918;520;1222;1319;937;829;849;767;1595;691;803;1093;1263;1309;678;1348;1047;1271;1342;38
Sarennes;;357;RGI60-11.03756;3756;-302151;5551311;0.30125;2030;2850;2230;2070;1890;1720;2200;1360;1580;1810;1360;1750;2150;2790;1550;1770;1470;1620;2000;2420;1040;1850;1660;1210;1820;1240;1700;1130;1730;1076;1650;1980;1410;877;1720;1240;2480;;37
Vernagtferner;;489;RGI60-11.00719;719;61831;5738129;8.55125;1313;1081;871;1410;870;988;899;949;855;912;947;895;1031;979;486;928;807;1116;1079;1139;1013;986;891;621;791;491;977;1072;487;744;885;912;;868;780;700;1072;;36
Fontana Bianca / Weissbrunnf.;;1507;RGI60-11.01704;1704;58710;5694840;0.56625;;;1375;1640;1475;924;1064;;;;844;968;1375;503;540;830;860;990;1130;2206;784;1115;983;744;929;616;862;1587;1316;1294;1011;1515;1842;1196;1083;999;;;31
Wurtenkees;;545;RGI60-11.00300;300;226385;5760080;0.21375;;1363;913;1123;1167;1482;1259;1255;1168;1258;1550;1513;1422;1545;770;2066;1306;1635;1498;1790;1399;1732;1501;1194;1441;936;1784;2086;1366;1171;;;;;;;;;29
Ghiacciaio del Basodino;C14/10;;RGI60-11.01987;1987;-115789;5688201;2.09187;;;;;;;;;;;1073;1574;1971;1544;781;1491;1372;1508;1704;2172;661;1436;1452;1349;953;812;951;2282;1011;1070;1246;1552;1820;1608;1590;1587;1865;2330;28
Jamtalferner;;480;RGI60-11.00781;781;12121;5735770;3.82313;;;;;;;;1051;1157;780;1450;1280;1300;1430;;;;;1550;1418;1530;1293;1330;850;1030;790;1480;1348;984;914;1188;1188;1095;1226;743;1045;1439;1560;27
Ciardoney;;1264;RGI60-11.03135;3135;-202300;5591479;0.34813;;;;;;;;;;;940;2340;1240;1120;870;470;650;880;760;2000;590;810;1170;770;784;980;1160;1840;1040;580;730;1590;1850;1731;1290;2140;1990;;27
Glacier de Corbassiere;B83/03;;RGI60-11.02766;2766;-208230;5640962;16.69438;;;;;;;;;;;;;;;;968;690;1250;974;1583;494;1066;1170;827;726;774;710;1406;661;689;1021;1134;1164;611;1185;911;1191;1211;23
Grosser Aletschgletscher;B36/26;;RGI60-11.01450;1450;-150759;5698567;82.165;753;681;517;433;1004;769;786;850;546;594;449;876;1048;1277;335;838;653;911;;;;;;;;;;;;;;;;;;;;;18
Vadret da Morteratsch;E22/03;;RGI60-11.01946;1946;-4401;5684530;15.809;;;;;;;;;;;;;;;;;;;;;782;2067;1184;1084;1155;971;1284;2328;1057;1039;1112;1296;1733;1692;1220;837;1287;1167;18
Kleinfleisskees;;547;RGI60-11.00251;251;221979;5761508;0.79688;;;;;;;;;;;;;;;;;;;;1691;1332;1614;1417;1143;1234;989;1534;1887;1371;1170;;1416;1717;1478;1513;1215;1777;;17
